year,FIPS,area_name,age_in_yrs_num,age_in_yrs_char,total,total_male,total_female,nh_white_total,nh_white_male,nh_white_female,nh_black_total,nh_black_male,nh_black_female,hispanic_total,hispanic_male,hispanic_female,nh_asian_total,nh_asian_male,nh_asian_female,nh_other_total,nh_other_male,nh_other_female
2010,157,Fort Bend County,-1,All Ages,585375,287368,298007,211680,105559,106121,123267,57949,65318,138967,69283,69684,98762,48373,50389,12699,6204,6495
2010,157,Fort Bend County,0,< 1 yr,8202,4243,3959,2388,1295,1093,1561,786,775,2666,1344,1322,1241,639,602,346,179,167
2010,157,Fort Bend County,1,1 yr,8569,4351,4218,2572,1328,1244,1732,864,868,2660,1327,1333,1262,641,621,343,191,152
2010,157,Fort Bend County,2,2 yrs,8676,4430,4246,2533,1299,1234,1772,898,874,2637,1358,1279,1414,714,700,320,161,159
2010,157,Fort Bend County,3,3 yrs,9056,4561,4495,2640,1344,1296,1873,927,946,2745,1376,1369,1455,743,712,343,171,172
2010,157,Fort Bend County,4,4 yrs,9245,4803,4442,2814,1497,1317,1879,983,896,2722,1402,1320,1513,767,746,317,154,163
2010,157,Fort Bend County,5,5 yrs,9458,4795,4663,2827,1471,1356,1915,929,986,2832,1448,1384,1541,772,769,343,175,168
2010,157,Fort Bend County,6,6 yrs,9809,4950,4859,2951,1459,1492,2054,1032,1022,2813,1443,1370,1622,825,797,369,191,178
2010,157,Fort Bend County,7,7 yrs,9863,4995,4868,2906,1422,1484,2105,1119,986,2879,1444,1435,1650,857,793,323,153,170
2010,157,Fort Bend County,8,8 yrs,9820,5115,4705,2965,1539,1426,2089,1084,1005,2873,1458,1415,1558,847,711,335,187,148
2010,157,Fort Bend County,9,9 yrs,10179,5236,4943,3020,1548,1472,2262,1147,1115,2853,1453,1400,1686,904,782,358,184,174
2010,157,Fort Bend County,10,10 yrs,10219,5297,4922,3151,1679,1472,2285,1174,1111,2872,1476,1396,1568,792,776,343,176,167
2010,157,Fort Bend County,11,11 yrs,10069,5091,4978,2980,1529,1451,2308,1174,1134,2891,1451,1440,1549,771,778,341,166,175
2010,157,Fort Bend County,12,12 yrs,10118,5167,4951,2988,1530,1458,2393,1182,1211,2785,1445,1340,1621,852,769,331,158,173
2010,157,Fort Bend County,13,13 yrs,10036,5212,4824,3153,1643,1510,2355,1229,1126,2651,1367,1284,1593,829,764,284,144,140
2010,157,Fort Bend County,14,14 yrs,10135,5255,4880,3198,1660,1538,2409,1231,1178,2686,1385,1301,1557,834,723,285,145,140
2010,157,Fort Bend County,15,15 yrs,10040,5113,4927,3101,1585,1516,2390,1179,1211,2694,1405,1289,1562,796,766,293,148,145
