SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018
10,0,0,0,United States,308745538,308758105,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434,567980,2253924,2294209,2183509,2328694,2356252,2328669,2075779,2020313,987836,3973485,3936976,3940576,3963195,3992376,3962654,3901982,3855500,598691,2512442,2501531,2608019,2582448,2699826,2703215,2779436,2814013,389145,1461043,1435445,1332557,1380747,1292550,1259439,1122546,1041487,178835,792881,858764,850952,947947,1063702,1069230,953233,978826,0,0,0,0,0,0,0,0,0,178835,792881,858764,850952,947947,1063702,1069230,953233,978826,0,0,0,0,0,0,0,0,0,12.79898857,12.58917385,12.51111658,12.49344016,12.4931756,12.30993395,12.03909553,11.82098413,8.09282442,7.999085759,8.280319869,8.140820616,8.448452825,8.39750281,8.575615039,8.627779277,4.70616415,4.590088093,4.230796709,4.352619547,4.044722771,3.912431139,3.46348049,3.193204849,2.553948198,2.746049073,2.701726772,2.988275652,3.328598275,3.321549314,2.94108562,3.00108588,0,0,0,0,0,0,0,0,2.553948198,2.746049073,2.701726772,2.988275652,3.328598275,3.321549314,2.94108562,3.00108588
20,1,0,0,Northeast Region,55317240,55318430,55380645,55600532,55776729,55907823,56015864,56047587,56058789,56072676,56111079,62215,219887,176197,131094,108041,31723,11202,13887,38403,163454,646265,637904,635741,632433,634515,628039,616552,609336,110848,470816,460985,480032,470196,488881,480331,501022,506909,52606,175449,176919,155709,162237,145634,147708,115530,102427,45723,206686,207584,194103,222685,227275,236718,215872,229700,-32918,-159789,-205314,-216273,-274391,-339996,-372953,-316879,-292928,12805,46897,2270,-22170,-51706,-112721,-136235,-101007,-63228,-3196,-2459,-2992,-2445,-2490,-1190,-271,-636,-796,11.64638937,11.45483368,11.38458253,11.30114665,11.32420953,11.20434042,10.99694898,10.86317712,8.484609962,8.277901537,8.596211229,8.402082037,8.725074869,8.569200382,8.93633201,9.037119501,3.161779407,3.176932139,2.788371305,2.89906461,2.599134664,2.635140039,2.060616973,1.826057614,3.724703695,3.727583138,3.475914914,3.979229169,4.056184206,4.223096107,3.850337637,4.095067062,-2.879569389,-3.686820778,-3.872925953,-4.903180146,-6.067919504,-6.653555548,-5.651919379,-5.222289092,0.845134306,0.04076236,-0.397011039,-0.923950977,-2.011735298,-2.430459441,-1.801581742,-1.12722203
20,2,0,0,Midwest Region,66927001,66929743,66974749,67152631,67336937,67564135,67752238,67869139,67996917,68156035,68308744,45006,177882,184306,227198,188103,116901,127778,159118,152709,212614,834909,830701,830869,836505,837968,831667,816177,804431,140785,586840,584817,605188,597078,626494,619471,620556,621030,71829,248069,245884,225681,239427,211474,212196,195621,183401,25158,116948,120995,126681,134310,142759,144859,126013,127583,-50873,-186896,-181285,-123814,-182730,-234823,-228200,-161387,-157048,-25715,-69948,-60290,2867,-48420,-92064,-83341,-35374,-29465,-1108,-239,-1288,-1350,-2904,-2509,-1077,-1129,-1227,12.44949391,12.35338937,12.31819715,12.36369231,12.35746191,12.24245444,11.98911941,11.78957686,8.750487783,8.696838107,8.972323067,8.82491877,9.238867999,9.11884864,9.115571729,9.101689162,3.699006124,3.656551265,3.345874079,3.538773538,3.118593907,3.123605796,2.873547685,2.687887693,1.743834853,1.799321714,1.878131851,1.985125629,2.105258082,2.132379555,1.851050574,1.869830456,-2.786843372,-2.69589683,-1.835626629,-2.700781819,-3.462920156,-3.359190761,-2.370672066,-2.301663494,-1.043008519,-0.896575116,0.042505222,-0.71565619,-1.357662074,-1.226811206,-0.519621492,-0.431833037
20,3,0,0,South Region,114555744,114563045,114867066,116039399,117271075,118393244,119657737,121037542,122401186,123598424,124753948,304021,1172333,1231676,1122169,1264493,1379805,1363644,1197238,1155524,368752,1509597,1504936,1504799,1525280,1545722,1541342,1519944,1499838,228706,962751,960575,1011093,1006057,1052360,1058173,1092949,1109152,140046,546846,544361,493706,519223,493362,483169,426995,390686,68742,285343,344198,329897,365281,429088,436795,404582,418418,90679,335757,336615,293443,373439,452879,442633,364465,345132,159421,621100,680813,623340,738720,881967,879428,769047,763550,4554,4387,6502,5123,6550,4476,1047,1196,1288,13.0753983,12.90071529,12.77069865,12.814734,12.84380821,12.66307964,12.35728788,12.07830622,8.338883019,8.234306703,8.580789865,8.45244994,8.744334366,8.693546904,8.885778315,8.932083,4.736515281,4.66640859,4.189908783,4.362284061,4.099473841,3.969532736,3.471509569,3.146223222,2.471502909,2.950557633,2.799719545,3.068930852,3.565404372,3.58854159,3.289289768,3.369551067,2.908164568,2.885554122,2.490347298,3.137470792,3.763090011,3.636504377,2.963134779,2.779373494,5.379667477,5.836111756,5.290066843,6.206401645,7.328494382,7.225045967,6.252424547,6.148924561
20,4,0,0,West Region,71945553,71946887,72103625,72787447,73489477,74192525,74960582,75788405,76614450,77319986,77993663,156738,683822,702030,703048,768057,827823,826045,705536,673677,243016,982714,963435,969167,968977,974171,961606,949309,941895,118352,492035,495154,511706,509117,532091,545240,564909,576922,124664,490679,468281,457461,459860,442080,416366,384400,364973,39212,183904,185987,200271,225671,264580,250858,206766,203125,-6888,10928,49984,46644,83682,121940,158520,113801,104844,32324,194832,235971,246915,309353,386520,409378,320567,307969,-250,-1689,-2222,-1328,-1156,-777,301,569,735,13.56486616,13.17275444,13.1250523,12.9930515,12.92441189,12.61926491,12.33393937,12.12894045,6.791791837,6.770090407,6.929835634,6.826770293,7.059297851,7.155246534,7.339605285,7.429121699,6.773074327,6.402664032,6.195216666,6.166281203,5.865114039,5.464018374,4.994334081,4.699818752,2.538513898,2.542943821,2.712192377,3.026031499,3.510206009,3.292038066,2.686416443,2.615674814,0.150844353,0.683416066,0.631681578,1.122095298,1.617788649,2.08027599,1.478564549,1.350093835,2.689358251,3.226359887,3.343873954,4.148126797,5.127994658,5.372314055,4.164980992,3.965768649
40,3,6,1,Alabama,4779736,4780138,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871,5310,13386,16730,14896,12021,10679,11585,10375,12751,14227,59689,59070,57936,58907,59637,59388,58259,57216,11073,48818,48364,50847,49692,51820,51662,53033,53425,3154,10871,10706,7089,9215,7817,7726,5226,3791,928,4716,5874,5111,3753,4685,5950,3190,3344,1238,-2239,59,2641,-755,-1553,-1977,2065,5718,2166,2477,5933,7752,2998,3132,3973,5255,9062,-10,38,91,55,-192,-270,-114,-106,-102,12.45560179,12.28782083,12.0124105,12.17974968,12.30181687,12.22238744,11.96299949,11.72099821,10.18709591,10.06074431,10.5425821,10.27443463,10.68933967,10.63233279,10.889884,10.94439194,2.268505872,2.227076516,1.469828398,1.905315043,1.612477195,1.590054647,1.07311549,0.776606268,0.984111277,1.221917379,1.059711234,0.775979095,0.96641367,1.224543767,0.65503988,0.685035969,-0.467223314,0.012273259,0.547583129,-0.156105573,-0.320350145,-0.40687782,0.424030518,1.171362342,0.516887963,1.234190638,1.607294363,0.619873521,0.646063525,0.817665948,1.079070398,1.856398311
40,4,9,2,Alaska,710231,710249,713906,722038,730399,737045,736307,737547,741504,739786,737438,3657,8132,8361,6646,-738,1240,3957,-1718,-2348,2893,11702,11123,11342,11446,11335,11247,10981,10693,924,3936,3935,4046,4035,4354,4441,4586,4738,1969,7766,7188,7296,7411,6981,6806,6395,5955,433,1320,2361,2881,1213,2306,2282,2595,2401,1162,-979,-1274,-3544,-9593,-8178,-5175,-10746,-10752,1595,341,1087,-663,-8380,-5872,-2893,-8151,-8351,93,25,86,13,231,131,44,38,48,16.29868574,15.31632697,15.45817081,15.53735971,15.38144212,15.20840052,14.8262663,14.47715445,5.482107937,5.418479425,5.514350122,5.47730617,5.908319277,6.005201984,6.191900303,6.414734665,10.81657781,9.897847549,9.943820684,10.06005354,9.473122847,9.203198537,8.634365992,8.062419782,1.838511808,3.251087655,3.926555289,1.646585473,3.129210899,3.085762425,3.503702854,3.250691838,-1.363562924,-1.754292957,-4.830167284,-13.02200696,-11.0974357,-6.997730301,-14.50897529,-14.557034,0.474948884,1.496794698,-0.903611995,-11.37542149,-7.968224804,-3.911967877,-11.00527243,-11.30634217
40,4,8,4,Arizona,6392017,6392288,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646,15486,65723,83132,78370,98841,99756,111856,103424,122770,20942,86103,85580,86100,86124,86765,84965,83743,83550,11484,48157,48746,50590,50236,52850,56023,57680,58806,9458,37946,36834,35510,35888,33915,28942,26063,24744,2709,17126,15779,18681,22020,20235,20865,14248,14335,3496,10583,30078,23960,40464,45315,61949,62930,83240,6205,27709,45857,42641,62484,65550,82814,77178,97575,-177,68,441,219,469,291,100,183,451,13.36871183,13.13571335,13.05373378,12.8842901,12.79018379,12.33249206,11.96813452,11.7506235,7.477057194,7.482045838,7.670016165,7.515387088,7.790712998,8.131621285,8.24333973,8.270582472,5.891654636,5.653667509,5.383717612,5.368903014,4.999470792,4.200870771,3.724794788,3.480041028,2.659054374,2.421925928,2.832250879,3.294227719,2.982877531,3.028511113,2.036253545,2.016100394,1.643160834,4.616685978,3.632606984,6.053480037,6.679965175,8.991767791,8.993643711,11.70702454,4.302215208,7.038611906,6.464857863,9.347707755,9.662842707,12.02027891,11.02989726,13.72312493
40,3,7,5,Arkansas,2915918,2916028,2921978,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825,5950,18429,11702,7440,8177,10681,12003,12587,10828,9438,38442,38596,37977,38230,38779,38604,37703,37191,6967,29463,29775,30939,29942,31331,31142,31299,31093,2471,8979,8821,7038,8288,7448,7462,6404,6098,811,3717,3799,2384,3188,3398,3516,2180,2260,2459,5504,-1099,-2046,-3305,-146,1065,4003,2475,3270,9221,2700,338,-117,3252,4581,6183,4735,209,229,181,64,6,-19,-40,0,-5,13.11479884,13.10000686,12.84817221,12.89968831,13.04343512,12.93522653,12.58149163,12.36234012,10.05154046,10.10603959,10.4671143,10.10312496,10.53827757,10.43489857,10.44447674,10.33535644,3.063258384,2.993967263,2.381057903,2.796563345,2.505157554,2.500327954,2.13701489,2.02698368,1.268084577,1.289432222,0.806541921,1.075705109,1.142927681,1.178122901,0.727466031,0.751227143,1.877734062,-0.373015534,-0.692191598,-1.115183621,-0.049107546,0.356854633,1.335801156,0.822693442,3.145818639,0.916416689,0.114350323,-0.039478512,1.093820135,1.534977534,2.063267187,1.573920585
40,4,9,6,California,37253956,37254523,37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045,66380,320920,318959,320042,344315,328003,255985,190222,157696,123311,509763,497431,499628,498911,500353,490384,481969,477145,57268,238444,239549,247723,243951,253556,259932,273362,280674,66043,271319,257882,251905,254960,246797,230452,208607,196471,21145,105527,105015,123416,138111,164026,148792,119732,117797,-20443,-53949,-40787,-52973,-45720,-80259,-122586,-137608,-156068,702,51578,64228,70443,92391,83767,26206,-17876,-38271,-365,-1977,-3151,-2306,-3036,-2561,-673,-509,-504,13.60043924,13.15909683,13.10643955,12.9745726,12.89930619,12.54784454,12.26251988,12.08629158,6.361668331,6.337056772,6.498367833,6.34413745,6.536777993,6.651086345,6.955026071,7.109595203,7.238770906,6.822040061,6.608071714,6.630435146,6.362528193,5.896758192,5.307493813,4.976696378,2.815452576,2.778078877,3.237497384,3.591685082,4.228657761,3.807258973,3.046287273,2.983849541,-1.43935534,-1.078983985,-1.389608713,-1.188984526,-2.069110039,-3.136705256,-3.501098279,-3.953270713,1.376097235,1.699094892,1.847888671,2.402700555,2.159547722,0.670553717,-0.454811005,-0.969421172
